INFO  - 2014-06-06 10:53:48.748; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d1a0b62924001822866d11210f216d75 (1470150558348214272)]} 0 2
INFO  - 2014-06-06 10:53:48.765; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a0c891ccfd2aec10063c479b7954e49e (1470150558366040064)]} 0 2
INFO  - 2014-06-06 10:53:48.853; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d478631f63be24ccca0afc67d3886365 (1470150558457266176)]} 0 3
INFO  - 2014-06-06 10:53:48.891; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[1dc72c262826435ba989d70777e2450a (1470150558496063488)]} 0 10
INFO  - 2014-06-06 10:53:49.136; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[26ef9a963e4447f43a75f496ed77a9b0 (1470150558755061760)]} 0 2
INFO  - 2014-06-06 10:53:49.225; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[5726646cb945c872c7c47d9322d91685 (1470150558847336448)]} 0 3
INFO  - 2014-06-06 10:53:49.293; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[2f57f112d0ff850198e17ddb545c4b7e (1470150558918639616)]} 0 2
INFO  - 2014-06-06 10:53:49.371; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[e81875c4847e54de48203ed84a32f90a (1470150559001477120)]} 0 2
INFO  - 2014-06-06 10:53:49.594; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[4b1d74b0258228aa155a89c3ace3af86 (1470150559235309568)]} 0 2
INFO  - 2014-06-06 10:53:50.045; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[9db0c405860e9555ab3bac18e7791618 (1470150559706120192)]} 0 3
INFO  - 2014-06-06 10:53:50.073; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d2b4680c1c835636eb4460f42ee99535 (1470150559737577472)]} 0 1
INFO  - 2014-06-06 10:53:50.214; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ebbd24bc09bea4a7ecc2633f2a0e4ddd (1470150559883329536)]} 0 4
INFO  - 2014-06-06 10:53:50.281; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[4eca8cbdc639d1b1b4074024e5b323b1 (1470150559955681280)]} 0 3
INFO  - 2014-06-06 10:53:50.402; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[2fc6b40bebe3e08a9fc46e86bb65e230 (1470150560081510400)]} 0 3
INFO  - 2014-06-06 10:53:50.413; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[9fae24bf007f3a7ff9a2a14208ced198 (1470150560093044736)]} 0 3
INFO  - 2014-06-06 10:53:50.505; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[159955ad510d72a64e05dff5f4c647e7 (1470150560190562304)]} 0 2
INFO  - 2014-06-06 10:53:50.549; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[aedfdeac4b945dada8ece09faaa2c194 (1470150560235651072)]} 0 3
INFO  - 2014-06-06 10:53:50.687; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[15cf245c1e072fbfc7c5ec961e3bd1d1 (1470150560380354560)]} 0 52
INFO  - 2014-06-06 10:53:50.741; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[062897a9a74d3ae00d2278a87cccbe8a (1470150560436977664)]} 0 3
INFO  - 2014-06-06 10:53:50.814; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[0a7f060d81a1ec86004e956e94e05293 (1470150560513523712)]} 0 4
INFO  - 2014-06-06 10:53:50.894; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[426d3face35858197744902642f0937a (1470150560598458368)]} 0 2
INFO  - 2014-06-06 10:53:51.058; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[366bf6ad514ba99a8b5777c8746f2bdf (1470150560769376256)]} 0 4
INFO  - 2014-06-06 10:53:51.083; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f7daefa83fd5d6b3bf09332d96181230 (1470150560795590656)]} 0 3
